title,up,play,danmu
【三国战纪】不知火舞过江救阿斗，刘备赚了夫人又得兵,耳东先←_←,781,0
三国战纪排位赛，现在是对方曹彰的演出时间,耳东先←_←,456,0
2019/05/12 BBD解说三国杀国战 蓄势待发 引敌入彀,感冒中,1076,0
三国战纪排位赛，轻松带走孙奉台,耳东先←_←,591,0
三国杀国战：二五仔小弟作乱杀兄,雨de氣息,496,0
三国战纪排位赛，本来还有机会的，对方却直接逃跑认输了,耳东先←_←,660,0
三国杀国战，忍到最后的才是赢家,啊我真不知道叫啥了,1028,0
2019/05/11 BBD解说三国杀国战 诱敌自乱 都是坏人,感冒中,1034,0
【三国杀】战地记者历险记,多面,1202,1
2019/05/08 BBD解说三国杀国战 不动刀兵 大动刀兵,感冒中,1039,0
三国战纪:曹操过江救阿斗，赵云拦路不让走,耳东先←_←,654,0
街机游戏 谁说不会连招不能玩三国战纪，解说小诺带你打破命运的枷锁！,解说小诺,1137,4
2019/05/06 BBD解说三国杀国战 摸牌奶爸 捍卫尊严,感冒中,1078,0
2019/05/04 BBD解说三国杀国战 异国拆迁 一举定叛,感冒中,1137,1
2019/05/02 BBD解说三国杀国战 致命一击 忍辱偷生,感冒中,1088,1
三国杀国战：在运气面前，实力已经无所谓了,雨de氣息,1050,0
5分钟曹丕实力打脸，三国杀国战。,啊我真不知道叫啥了,838,0
手游三国杀，这局我真的贱，看老内奸如何心理战翻盘。,啊我真不知道叫啥了,1083,1
2019/04/30 BBD解说三国杀国战 德淑贤良 扭转乾坤,感冒中,1099,0
三国战纪排位赛，貂蝉攻势非常迅猛,耳东先←_←,817,0
三国战纪排位赛，魏延挺厉害的，只是没发挥出来,耳东先←_←,953,0
2019/04/28 BBD解说三国杀国战 站起来了 常规操作,感冒中,1092,0
三国战纪白金排位赛，对战无敌小钢炮,耳东先←_←,450,0
2019/04/26 BBD解说三国杀国战 极限完杀 江东血脉,感冒中,1115,0
三国战纪排位赛，对战唯美式绝恋,耳东先←_←,660,0
三国战纪2群雄争霸连段集锦,小哥-小B,638,0
三国战纪排位赛，被逼到墙角，一波操作带走,耳东先←_←,637,0
三国战纪积分赛，平民玩家打的很艰难,耳东先←_←,559,0
2019/04/24 BBD解说三国杀国战 顺牛逆怪 最后狂欢,感冒中,1079,0
三国杀国战：大郎，该喝药了,雨de氣息,1035,0
三国杀国战，改得都不会玩了,雨de氣息,958,0
三国战纪排位黄金段位赛，诸葛亮同时出雷霆万钧，双双套牢,耳东先←_←,1081,0
三国战纪排位赛，黄金段位对手直接逃跑了，就是有点卡,耳东先←_←,470,0
三国战纪排位赛，未战先会逃,耳东先←_←,751,0
三国战纪排位赛，不知道害怕,耳东先←_←,423,0
三国战纪排位赛，马超仙人指路,耳东先←_←,458,0
三国战纪排位赛，差点就挂了,耳东先←_←,534,0
三国战纪，打战役黄巾之乱、南蛮入侵，张角这么快被秒了,耳东先←_←,404,0
2019/04/23 BBD解说三国杀国战 各求联盟 不惧敌多,感冒中,1033,0
20190308  BBD解说三国杀国战 杀机陡现 大战铁头,感冒中,1038,0
三国战纪排位赛，打黄金段位差点翻车,耳东先←_←,1111,0
2019《梦三国2无双杯》冷月-官渡之战VS遥远-MPL战队,103551056,723,0
2019《梦三国2无双杯》扶摇-草船借箭VSZiyo-MPL战队,103551056,1034,0
三国战纪小兵争霸 第七关三国归一统 一统天下,耳东先←_←,817,0
三国战纪小兵争霸 第六关雪战夺荆州 箭射黄盖,耳东先←_←,435,0
三国战纪小兵争霸 第五关智破八阵图 火把少女烧左慈,耳东先←_←,381,1
三国战纪小兵争霸 第四关大意失荆州 拿着锅铲背着龟壳铲吕蒙,耳东先←_←,281,0
三国战纪小兵争霸 第三关威震汉中地 铁锤小胖哥锤张辽,耳东先←_←,373,0
三国战纪小兵争霸 第二关定军斩夏侯 水枪兵来斩夏侯,耳东先←_←,458,0
三国战纪小兵争霸 第一关截江救阿斗 放蛇牛角兵来了,耳东先←_←,1165,1
